ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-28,35.798013,25.35449235222083,43.68397162562785,35.798013,35.798013,-1.09662879060355,-1.09662879060355,-1.09662879060355,-1.09662879060355,-1.09662879060355,-1.09662879060355,0.0,0.0,0.0,34.701384209396444
2021-04-04,35.73587845977011,24.846906318724606,43.262347136245275,35.73587845977011,35.73587845977011,-1.4505877028544032,-1.4505877028544032,-1.4505877028544032,-1.4505877028544032,-1.4505877028544032,-1.4505877028544032,0.0,0.0,0.0,34.28529075691571
2021-04-11,35.67374391954023,24.949691926969276,44.38803011845025,35.67374391954023,35.67374391954023,-1.2548603892870829,-1.2548603892870829,-1.2548603892870829,-1.2548603892870829,-1.2548603892870829,-1.2548603892870829,0.0,0.0,0.0,34.41888353025315
2021-04-18,35.611609379310345,25.550550310823308,43.40283075502144,35.611609379310345,35.611609379310345,-0.7048544500046179,-0.7048544500046179,-0.7048544500046179,-0.7048544500046179,-0.7048544500046179,-0.7048544500046179,0.0,0.0,0.0,34.90675492930573
2021-04-25,35.54947483908046,25.276977949947327,44.400569915060025,35.54947483908046,35.54947483908046,-0.60552104134222,-0.60552104134222,-0.60552104134222,-0.60552104134222,-0.60552104134222,-0.60552104134222,0.0,0.0,0.0,34.94395379773824
2021-05-02,35.487340298850576,24.508239893304623,42.984727554482276,35.487340298850576,35.487340298850576,-1.5640311394877517,-1.5640311394877517,-1.5640311394877517,-1.5640311394877517,-1.5640311394877517,-1.5640311394877517,0.0,0.0,0.0,33.92330915936282
2021-05-09,35.42520575862069,22.426371157335097,42.129907422198805,35.42520575862069,35.42520575862069,-3.2568528267087586,-3.2568528267087586,-3.2568528267087586,-3.2568528267087586,-3.2568528267087586,-3.2568528267087586,0.0,0.0,0.0,32.16835293191193
2021-05-16,35.36307121839081,21.7405068446702,40.65171382388242,35.36307121839081,35.36307121839081,-4.529907536399747,-4.529907536399747,-4.529907536399747,-4.529907536399747,-4.529907536399747,-4.529907536399747,0.0,0.0,0.0,30.83316368199106
2021-05-23,35.300936678160916,22.165114310260954,40.52254818976211,35.300936678160916,35.300936678160916,-4.330562644636748,-4.330562644636748,-4.330562644636748,-4.330562644636748,-4.330562644636748,-4.330562644636748,0.0,0.0,0.0,30.970374033524166
2021-05-30,35.23880214426905,22.998727215862484,42.38970553050616,35.23880214426905,35.23880214426905,-2.6713245176222546,-2.6713245176222546,-2.6713245176222546,-2.6713245176222546,-2.6713245176222546,-2.6713245176222546,0.0,0.0,0.0,32.5674776266468
2021-06-06,35.17666761037718,25.00225961141255,44.21173475676838,35.17666761037718,35.17666761037718,-0.7257757610688769,-0.7257757610688769,-0.7257757610688769,-0.7257757610688769,-0.7257757610688769,-0.7257757610688769,0.0,0.0,0.0,34.450891849308306
2021-06-13,35.1145330764853,25.490848933587493,44.74780221131054,35.1145330764853,35.1145330764853,0.1107378574936267,0.1107378574936267,0.1107378574936267,0.1107378574936267,0.1107378574936267,0.1107378574936267,0.0,0.0,0.0,35.225270933978926
2021-06-20,35.05239854259344,24.601194199409534,43.74052557815694,35.05239854259344,35.05239854259344,-0.5893155750568738,-0.5893155750568738,-0.5893155750568738,-0.5893155750568738,-0.5893155750568738,-0.5893155750568738,0.0,0.0,0.0,34.463082967536565
2021-06-27,34.990264008701566,23.857468661904875,42.81538754658191,34.990264008701566,34.990264008701566,-1.9343873768802096,-1.9343873768802096,-1.9343873768802096,-1.9343873768802096,-1.9343873768802096,-1.9343873768802096,0.0,0.0,0.0,33.055876631821356
2021-07-04,34.928129474809694,22.948617043172327,41.51443499817927,34.928129474809694,34.928129474809694,-2.5810314828731933,-2.5810314828731933,-2.5810314828731933,-2.5810314828731933,-2.5810314828731933,-2.5810314828731933,0.0,0.0,0.0,32.3470979919365
2021-07-11,34.86599494091783,23.57607765460647,42.18408483107282,34.86599494091783,34.86599494091783,-2.0443403563870755,-2.0443403563870755,-2.0443403563870755,-2.0443403563870755,-2.0443403563870755,-2.0443403563870755,0.0,0.0,0.0,32.821654584530755
2021-07-18,34.80386040702596,24.14625602073257,43.033892395012124,34.80386040702596,34.80386040702596,-1.1687199695740644,-1.1687199695740644,-1.1687199695740644,-1.1687199695740644,-1.1687199695740644,-1.1687199695740644,0.0,0.0,0.0,33.635140437451895
2021-07-25,34.74172587313409,24.547550593894268,43.268665701050814,34.74172587313409,34.74172587313409,-1.218807788343675,-1.218807788343675,-1.218807788343675,-1.218807788343675,-1.218807788343675,-1.218807788343675,0.0,0.0,0.0,33.52291808479041
2021-08-01,34.6795913394172,22.798474788240938,41.437864392638986,34.6795913394172,34.6795913394172,-2.4358089994851735,-2.4358089994851735,-2.4358089994851735,-2.4358089994851735,-2.4358089994851735,-2.4358089994851735,0.0,0.0,0.0,32.243782339932025
2021-08-08,34.61745680570031,22.23609490915934,40.383029897301235,34.61745680570031,34.61745680570031,-3.5547233445741413,-3.5547233445741413,-3.5547233445741413,-3.5547233445741413,-3.5547233445741413,-3.5547233445741413,0.0,0.0,0.0,31.062733461126165
2021-08-15,34.55532227198342,22.277994295219617,41.11840340880119,34.55532227198342,34.55532227198342,-2.9107679038611263,-2.9107679038611263,-2.9107679038611263,-2.9107679038611263,-2.9107679038611263,-2.9107679038611263,0.0,0.0,0.0,31.644554368122293
2021-08-22,34.49318773826653,25.24045491185118,43.33058676753093,34.49318773826653,34.49318773826653,-0.13488908651556314,-0.13488908651556314,-0.13488908651556314,-0.13488908651556314,-0.13488908651556314,-0.13488908651556314,0.0,0.0,0.0,34.358298651750964
2021-08-29,34.43105320454964,29.061428457542558,46.786260484440454,34.43105320454964,34.43105320454964,3.280353641492911,3.280353641492911,3.280353641492911,3.280353641492911,3.280353641492911,3.280353641492911,0.0,0.0,0.0,37.71140684604255
2021-09-05,34.36891867083275,30.613410192921616,49.06111111178345,34.36891867083275,34.36891867083275,5.216095712907469,5.216095712907469,5.216095712907469,5.216095712907469,5.216095712907469,5.216095712907469,0.0,0.0,0.0,39.585014383740216
2021-09-12,34.30678413711586,29.24386981023007,49.19496624518664,34.30678413711586,34.30678413711586,4.808799483388928,4.808799483388928,4.808799483388928,4.808799483388928,4.808799483388928,4.808799483388928,0.0,0.0,0.0,39.11558362050479
2021-09-19,34.244649603398976,28.31526187232535,46.79221716015802,34.244649603398976,34.244649603398976,3.122703668138123,3.122703668138123,3.122703668138123,3.122703668138123,3.122703668138123,3.122703668138123,0.0,0.0,0.0,37.3673532715371
2021-09-26,34.18251507439686,26.610766016920937,45.30379060540578,34.18251507439686,34.18251507439686,1.9780185376162414,1.9780185376162414,1.9780185376162414,1.9780185376162414,1.9780185376162414,1.9780185376162414,0.0,0.0,0.0,36.160533612013104
2021-10-03,34.120380545394745,26.729792189536795,45.20655024256251,34.120380545394745,34.120380545394745,2.19085589680579,2.19085589680579,2.19085589680579,2.19085589680579,2.19085589680579,2.19085589680579,0.0,0.0,0.0,36.31123644220054
2021-10-10,34.05824601639264,27.99016608692266,46.6704164149707,34.05824601639264,34.05824601639264,3.0336648425465063,3.0336648425465063,3.0336648425465063,3.0336648425465063,3.0336648425465063,3.0336648425465063,0.0,0.0,0.0,37.091910858939144
2021-10-17,33.996111487390515,27.803411921754723,46.95991883028589,33.996111487390515,33.996111487390515,3.355601793398253,3.355601793398253,3.355601793398253,3.355601793398253,3.355601793398253,3.355601793398253,0.0,0.0,0.0,37.351713280788765
2021-10-24,33.933976958388406,28.22481519615271,45.59390399001993,33.933976958388406,33.933976958388406,3.0147038023402195,3.0147038023402195,3.0147038023402195,3.0147038023402195,3.0147038023402195,3.0147038023402195,0.0,0.0,0.0,36.94868076072863
2021-10-31,33.8718424293863,27.742720576224425,46.77561146613892,33.8718424293863,33.8718424293863,3.0135738902330935,3.0135738902330935,3.0135738902330935,3.0135738902330935,3.0135738902330935,3.0135738902330935,0.0,0.0,0.0,36.885416319619395
2021-11-07,33.809707900384176,28.847288031680993,46.80568031859145,33.809707900384176,33.809707900384176,4.237155898616816,4.237155898616816,4.237155898616816,4.237155898616816,4.237155898616816,4.237155898616816,0.0,0.0,0.0,38.04686379900099
